ID;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Z_CostContact;Z_Revenue;Response;Age;DaysCustomer;TotalChild;Monetary;MntPurchase;MntAccepted;clusters
10755;1976;2;1;23718.0;1;0;2013-09-02;76;6;3;14;15;7;36;3;3.0;1.0;2.0;7;0;0;0;0;0;0;3;11;0;38;397;1;81.0;10.0;0;0
8595;1973;1;0;42429.0;0;1;2014-02-11;99;55;0;6;2;0;4;2;1.0;1.0;3.0;5;0;0;0;0;0;0;3;11;0;41;235;1;67.0;9.0;0;0
2968;1943;4;0;48948.0;0;0;2013-02-01;53;437;8;206;160;49;42;2;7.0;10.0;5.0;6;1;0;0;0;0;0;3;11;1;71;610;0;902.0;21.0;1;1
8601;1980;1;1;80011.0;0;1;2013-04-29;3;421;76;536;82;178;102;2;8.0;6.0;5.0;4;0;0;0;0;0;0;3;11;0;34;523;1;1395.0;15.0;0;1
503;1985;3;1;20559.0;1;0;2013-03-12;88;13;1;29;3;0;7;2;2.0;0.0;3.0;8;0;0;0;0;0;0;3;11;0;29;571;1;53.0;11.0;0;0
8430;1957;1;1;21994.0;0;1;2012-12-24;4;9;0;6;3;1;3;1;0.0;0.0;3.0;5;0;0;0;0;0;0;3;11;0;57;649;1;22.0;8.0;0;0
7281;1959;4;0;51301.0;0;0;2013-11-05;80;81;11;50;3;2;39;1;1.0;3.0;4.0;2;0;0;0;0;0;0;3;11;0;55;333;0;186.0;9.0;0;0
2139;1975;3;1;7500.0;1;0;2013-10-02;19;3;1;10;3;2;12;3;2.0;0.0;3.0;5;0;0;0;0;0;0;3;11;0;39;367;1;31.0;8.0;0;0
1371;1976;1;0;79941.0;0;0;2014-06-28;72;123;164;266;227;30;174;1;2.0;4.0;9.0;1;0;0;0;0;0;0;3;11;0;38;98;0;984.0;14.0;0;1
9909;1996;2;1;7500.0;0;0;2012-11-09;24;3;18;14;15;22;50;3;3.0;1.0;3.0;9;0;0;0;0;0;0;3;11;1;18;694;0;122.0;13.0;0;0
7286;1968;1;1;41728.0;1;0;2013-05-24;92;13;6;15;3;5;13;1;2.0;0.0;2.0;10;0;0;0;0;0;0;3;11;0;46;498;1;55.0;12.0;0;0
7244;1951;1;0;51301.0;2;1;2014-01-01;96;48;5;48;6;10;7;3;2.0;1.0;4.0;6;0;0;0;0;0;0;3;11;0;63;276;3;124.0;11.0;0;0
6566;1954;4;1;72550.0;1;1;2012-11-08;39;826;50;317;50;38;38;9;5.0;2.0;12.0;8;0;0;0;0;0;0;3;11;0;60;695;2;1319.0;22.0;0;2
8614;1957;1;0;65486.0;0;1;2014-05-12;29;245;19;125;37;67;14;1;4.0;2.0;10.0;2;0;0;0;0;0;0;3;11;0;57;145;1;507.0;14.0;0;2
4114;1964;3;1;79143.0;0;0;2012-08-11;2;650;37;780;27;167;32;1;6.0;9.0;13.0;3;0;0;0;0;0;0;3;11;0;50;784;0;1693.0;25.0;0;1
1331;1977;1;0;35790.0;1;0;2013-01-02;54;12;6;20;30;1;3;2;2.0;0.0;3.0;7;0;0;0;0;0;0;3;11;0;37;640;1;72.0;10.0;0;0
2225;1977;1;0;82582.0;0;0;2014-06-07;54;510;120;550;156;40;241;1;4.0;9.0;7.0;1;1;0;0;1;0;0;3;11;1;37;119;0;1617.0;17.0;2;1
9381;1978;1;1;66373.0;1;1;2013-06-12;57;328;9;124;12;24;109;7;4.0;2.0;10.0;3;0;0;0;0;0;0;3;11;0;36;479;2;606.0;15.0;0;2
6260;1955;3;1;82384.0;0;0;2012-11-19;55;984;51;432;180;120;190;1;3.0;10.0;13.0;1;0;0;1;0;0;0;3;11;1;59;684;0;1957.0;24.0;1;1
10383;1966;1;0;70287.0;0;0;2013-04-02;30;295;35;482;121;120;40;1;5.0;5.0;10.0;3;0;0;0;0;0;0;3;11;1;48;550;0;1093.0;18.0;0;1
7437;1988;1;0;27938.0;1;0;2014-04-28;31;13;0;8;2;1;5;1;1.0;0.0;4.0;3;0;0;0;0;0;0;3;11;0;26;159;1;29.0;7.0;0;0
8557;1982;1;0;51301.0;1;0;2013-06-17;57;11;3;22;2;2;6;2;2.0;0.0;3.0;6;0;0;0;0;0;0;3;11;0;32;474;1;46.0;9.0;0;0
8375;1968;4;1;55954.0;0;1;2014-03-03;63;447;0;28;0;0;43;3;8.0;2.0;6.0;7;0;0;0;0;0;0;3;11;0;46;215;1;518.0;15.0;0;2
6853;1982;3;0;75777.0;0;0;2013-07-04;12;712;26;538;69;13;80;1;3.0;6.0;11.0;1;0;1;1;0;0;0;3;11;1;32;457;0;1438.0;18.0;2;1
3076;1975;1;1;66653.0;1;1;2012-09-07;18;452;18;102;16;18;6;4;4.0;2.0;12.0;3;0;0;0;0;0;0;3;11;0;39;757;2;612.0;17.0;0;2
1012;1952;1;0;61823.0;0;1;2013-02-18;26;523;7;134;37;14;169;4;8.0;2.0;10.0;7;0;0;0;0;0;0;3;11;0;62;593;1;884.0;19.0;0;2
6518;1951;4;0;67680.0;0;1;2013-06-11;8;546;0;48;0;6;6;1;7.0;3.0;8.0;5;0;0;0;0;0;0;3;11;0;63;480;1;606.0;16.0;0;2
4137;1948;1;1;70666.0;0;0;2013-12-06;29;398;40;367;119;122;30;1;7.0;4.0;4.0;4;0;0;0;0;0;0;3;11;0;66;302;0;1076.0;12.0;0;1
8082;1971;1;1;25721.0;1;0;2013-05-21;75;1;3;6;3;6;15;1;1.0;1.0;2.0;7;0;0;0;0;0;0;3;11;1;43;501;1;34.0;10.0;0;0
1386;1967;1;1;32474.0;1;1;2014-05-11;0;10;0;1;0;0;0;1;1.0;0.0;2.0;7;0;0;0;0;0;0;3;11;0;47;146;2;11.0;9.0;0;0
9369;1979;2;0;88194.0;0;1;2014-03-19;19;688;14;309;201;24;38;1;11.0;10.0;10.0;5;1;0;0;1;0;0;3;11;1;35;199;1;1274.0;25.0;2;1
4477;1958;1;1;69096.0;0;1;2013-09-27;4;247;49;159;7;82;109;1;5.0;2.0;10.0;4;0;0;0;0;0;0;3;11;0;56;372;1;653.0;16.0;0;2
1357;1970;1;1;74854.0;1;2;2013-04-08;90;856;59;487;58;29;73;7;2.0;5.0;5.0;5;0;0;0;0;0;0;3;11;0;44;544;3;1562.0;15.0;0;2
1402;1954;3;1;66991.0;0;0;2012-09-11;1;496;36;460;189;60;12;3;4.0;8.0;6.0;3;0;0;0;0;0;0;3;11;0;60;753;0;1253.0;17.0;0;1
10629;1973;2;1;51301.0;1;0;2012-09-14;25;25;3;43;17;4;17;3;3.0;0.0;3.0;8;0;0;0;0;0;0;3;11;0;41;750;1;109.0;11.0;0;0
6312;1959;1;1;65031.0;0;1;2013-03-17;29;258;107;291;84;37;86;4;10.0;3.0;13.0;7;0;0;0;0;0;0;3;11;0;55;566;1;863.0;23.0;0;2
8132;1975;4;1;60631.0;1;1;2013-04-05;88;565;6;65;0;6;19;5;9.0;2.0;8.0;7;0;1;0;0;0;0;3;11;0;39;547;2;661.0;17.0;1;2
1050;1952;1;1;28332.0;0;0;2014-04-30;58;14;10;13;4;15;9;1;2.0;1.0;4.0;2;0;0;0;0;0;0;3;11;0;62;157;0;65.0;7.0;0;0
5846;1977;1;0;40246.0;1;0;2012-12-19;68;2;1;6;2;1;1;1;1.0;0.0;2.0;6;0;0;0;0;0;0;3;11;0;37;654;1;13.0;8.0;0;0
1859;1972;3;1;75251.0;0;0;2012-08-27;34;721;111;925;97;18;18;1;7.0;6.0;5.0;5;0;0;0;0;0;0;3;11;1;42;768;0;1890.0;16.0;0;1
7503;1976;1;0;75825.0;0;0;2012-10-12;40;1032;105;779;137;105;51;0;5.0;8.0;9.0;4;1;0;0;0;0;0;3;11;1;38;722;0;2209.0;21.0;1;1
10401;1976;2;1;26326.0;0;0;2013-09-04;12;1;0;5;0;3;9;1;0.0;0.0;3.0;3;0;0;0;0;0;1;3;11;0;38;395;0;18.0;6.0;0;0
1618;1965;1;1;56046.0;0;0;2013-01-02;9;577;0;64;0;0;51;2;10.0;1.0;8.0;8;1;0;0;0;0;0;3;11;1;49;640;0;692.0;17.0;1;2
3332;1985;1;0;29760.0;1;0;2012-08-29;87;64;4;68;7;5;17;4;3.0;1.0;4.0;8;0;0;0;0;0;0;3;11;0;29;766;1;165.0;13.0;0;0
2261;1969;1;1;26304.0;1;0;2013-06-23;5;4;1;5;2;0;4;1;1.0;0.0;2.0;7;0;0;0;0;0;0;3;11;0;45;468;1;16.0;9.0;0;0
5346;1973;2;1;23559.0;1;0;2013-07-03;87;25;5;19;7;0;23;3;3.0;0.0;3.0;7;0;0;0;0;0;0;3;11;0;41;458;1;79.0;10.0;0;0
4119;1963;3;1;38620.0;0;0;2013-05-11;56;112;17;44;34;22;89;1;2.0;5.0;3.0;3;0;0;0;0;0;0;3;11;0;51;511;0;318.0;11.0;0;0
535;1987;1;0;81361.0;0;0;2014-02-25;18;163;23;424;27;65;76;1;3.0;10.0;13.0;1;0;0;0;0;0;0;3;11;0;27;221;0;778.0;24.0;0;1
5268;1960;1;1;29440.0;1;1;2013-08-11;95;17;8;14;10;4;3;2;1.0;0.0;4.0;7;0;0;0;0;0;0;3;11;0;54;419;2;56.0;11.0;0;0
273;1970;3;1;36138.0;1;1;2013-07-16;48;130;0;16;0;0;5;5;3.0;1.0;4.0;7;0;1;0;0;0;0;3;11;0;44;445;2;151.0;12.0;1;0
4452;1957;1;0;50388.0;0;1;2014-05-28;3;292;6;37;0;3;34;4;6.0;1.0;6.0;7;0;1;0;1;0;0;3;11;1;57;129;1;372.0;14.0;2;2
8504;1973;1;1;79593.0;0;0;2014-05-12;70;350;60;568;110;133;145;1;5.0;6.0;7.0;2;0;0;1;0;0;0;3;11;0;41;145;0;1366.0;15.0;1;1
771;1967;1;1;54178.0;0;1;2014-01-21;79;135;9;39;4;0;7;1;2.0;2.0;5.0;2;0;0;0;0;0;0;3;11;0;47;256;1;194.0;9.0;0;0
8996;1957;4;1;51301.0;2;1;2012-11-19;4;230;42;192;49;37;53;12;7.0;2.0;8.0;9;0;0;0;0;0;0;3;11;0;57;684;3;603.0;19.0;0;2
9235;1957;1;0;51301.0;1;1;2014-05-27;45;7;0;8;2;0;1;1;1.0;0.0;2.0;7;0;0;0;0;0;0;3;11;0;57;130;2;18.0;9.0;0;0
5798;1973;3;1;51301.0;0;0;2013-11-23;87;445;37;359;98;28;18;1;2.0;4.0;8.0;1;0;0;0;0;0;0;3;11;0;41;315;0;985.0;13.0;0;1
11178;1972;3;0;42394.0;1;0;2014-03-23;69;15;2;10;0;1;4;1;1.0;0.0;3.0;7;0;0;0;0;0;0;3;11;0;42;195;1;32.0;10.0;0;0
2230;1970;4;1;23626.0;1;0;2014-05-24;84;27;2;14;0;0;0;3;3.0;1.0;3.0;5;0;0;0;0;0;0;3;11;0;44;133;1;43.0;9.0;0;0
7516;1983;1;1;30096.0;1;0;2014-05-22;30;5;3;11;12;5;9;1;2.0;0.0;3.0;6;0;0;0;0;0;0;3;11;0;31;135;1;45.0;9.0;0;0
7247;1960;1;0;47916.0;0;1;2012-11-22;72;505;0;26;0;0;75;5;7.0;4.0;6.0;6;0;1;0;0;0;0;3;11;0;54;681;1;606.0;16.0;1;2
11100;1972;1;0;51813.0;1;1;2013-04-11;37;51;2;7;0;1;2;2;2.0;0.0;3.0;7;0;0;0;0;0;0;3;11;0;42;541;2;63.0;10.0;0;0
4646;1951;2;1;78497.0;0;0;2013-12-01;44;207;26;447;75;0;223;1;5.0;7.0;12.0;2;0;0;0;1;0;0;3;11;0;63;307;0;978.0;21.0;1;1
3037;1983;4;1;50150.0;0;0;2013-06-20;32;135;46;92;65;61;11;2;5.0;2.0;7.0;5;0;0;0;0;0;0;3;11;0;31;471;0;410.0;14.0;0;2
1473;1960;2;0;47823.0;0;1;2013-07-23;0;53;1;5;2;1;10;2;2.0;0.0;3.0;8;0;0;0;0;0;0;3;11;0;54;438;1;72.0;11.0;0;0
1016;1959;4;0;34554.0;0;1;2014-03-30;43;41;1;6;2;0;5;2;2.0;0.0;3.0;6;0;0;0;0;0;0;3;11;0;55;188;1;55.0;9.0;0;0
4518;1979;1;1;85693.0;0;1;2013-04-20;59;386;172;183;185;132;111;2;9.0;5.0;11.0;5;0;0;0;0;0;0;3;11;0;35;532;1;1169.0;21.0;0;1
9370;1945;4;1;65846.0;0;0;2013-05-17;68;562;81;276;80;40;81;1;6.0;3.0;6.0;4;0;0;0;0;0;0;3;11;0;69;505;0;1120.0;13.0;0;1
8908;1959;1;1;87195.0;0;0;2014-05-08;35;217;76;690;50;26;38;1;3.0;2.0;5.0;1;0;0;0;0;0;0;3;11;1;55;149;0;1097.0;17.0;0;1
8373;1979;0;1;24594.0;1;0;2013-12-10;94;1;3;6;10;0;9;1;1.0;0.0;3.0;5;0;0;0;0;0;0;3;11;0;35;298;1;29.0;8.0;0;0
7533;1964;1;1;49096.0;1;1;2013-09-24;15;144;1;32;2;1;7;4;4.0;1.0;4.0;7;0;0;0;0;0;0;3;11;0;50;375;2;187.0;12.0;0;0
2683;1969;1;1;52413.0;0;2;2013-02-02;56;295;106;271;75;98;65;4;6.0;4.0;12.0;6;0;0;0;0;0;0;3;11;0;45;609;2;910.0;22.0;0;2
3629;1978;1;0;38557.0;1;0;2012-12-19;17;76;3;31;4;4;27;2;3.0;1.0;3.0;7;0;0;0;0;0;0;3;11;0;36;654;1;145.0;11.0;0;0
10991;1960;3;1;89058.0;0;0;2012-12-07;18;454;194;106;31;22;43;1;5.0;4.0;4.0;2;0;0;0;0;0;0;3;11;0;54;666;0;850.0;10.0;0;1
5077;1979;1;1;77298.0;0;1;2013-11-02;46;425;115;292;23;35;79;1;6.0;6.0;11.0;3;0;0;0;0;0;0;3;11;0;35;336;1;969.0;20.0;0;1
7431;1991;4;0;68126.0;0;0;2012-11-10;40;1332;17;311;23;51;86;1;7.0;4.0;5.0;9;0;1;0;0;0;0;3;11;1;23;693;0;1820.0;18.0;1;1
3267;1963;3;1;57288.0;0;1;2014-06-25;27;527;0;21;0;0;60;3;8.0;1.0;8.0;6;0;1;0;0;0;0;3;11;0;51;101;1;608.0;15.0;1;2
999;1991;1;0;86037.0;0;0;2013-01-02;95;490;44;125;29;20;22;1;6.0;7.0;11.0;3;0;1;1;0;0;0;3;11;1;23;640;0;730.0;21.0;2;1
9215;1980;4;1;43974.0;1;0;2012-12-12;19;378;0;101;0;0;72;5;6.0;4.0;6.0;7;0;0;0;0;0;0;3;11;0;34;661;1;551.0;17.0;0;2
2286;1962;1;0;50785.0;1;1;2013-09-10;27;64;1;21;0;1;27;2;2.0;1.0;3.0;6;0;0;0;0;0;0;3;11;0;52;389;2;114.0;10.0;0;0
1592;1970;1;1;90765.0;0;0;2014-01-24;25;547;99;812;151;82;33;0;4.0;6.0;5.0;1;0;0;1;1;0;0;3;11;0;44;253;0;1724.0;12.0;2;1
367;1978;2;1;36550.0;1;0;2013-02-19;74;47;90;94;123;103;120;5;9.0;1.0;5.0;9;0;0;0;0;0;0;3;11;0;36;592;1;577.0;15.0;0;2
5234;1967;2;1;30753.0;1;1;2013-07-11;85;12;5;25;0;9;30;2;1.0;1.0;3.0;5;0;0;0;0;0;0;3;11;0;47;450;2;81.0;9.0;0;0
9862;1969;1;1;21918.0;1;0;2013-11-14;37;1;6;7;11;5;3;2;2.0;0.0;3.0;6;0;0;0;0;0;0;3;11;0;45;324;1;33.0;9.0;0;0
9805;1953;3;1;56129.0;0;1;2013-06-20;65;320;48;133;39;72;48;4;6.0;2.0;10.0;4;0;0;0;0;0;0;3;11;0;61;471;1;660.0;16.0;0;2
6205;1967;3;0;32557.0;1;0;2014-02-24;13;34;3;29;0;4;10;3;2.0;1.0;3.0;5;0;0;0;0;0;0;3;11;1;47;222;1;80.0;9.0;0;0
8442;1985;3;1;19510.0;2;0;2013-09-04;63;9;0;7;3;4;7;2;1.0;0.0;3.0;7;0;0;0;0;0;0;3;11;0;29;395;2;30.0;10.0;0;0
7386;1976;1;0;30992.0;1;0;2013-04-22;83;17;0;14;7;3;2;1;1.0;0.0;3.0;7;0;0;0;0;0;0;3;11;0;38;530;1;43.0;10.0;0;0
7215;1983;1;0;101970.0;0;0;2013-03-12;69;722;27;102;44;72;168;0;6.0;8.0;13.0;2;0;1;1;1;0;0;3;11;1;31;571;0;1135.0;23.0;3;1
1491;1965;2;1;71488.0;0;0;2013-02-18;87;162;33;124;40;28;172;2;3.0;4.0;7.0;1;0;0;0;0;0;0;3;11;0;49;593;0;559.0;12.0;0;1
11071;1984;1;0;79607.0;0;0;2013-04-21;37;450;133;951;173;0;216;1;3.0;6.0;6.0;1;0;0;0;0;0;0;3;11;1;30;531;0;1923.0;13.0;0;1
3381;1953;3;1;54348.0;1;1;2014-06-08;51;70;0;16;0;0;4;2;2.0;0.0;4.0;6;0;0;0;0;0;0;3;11;0;61;118;2;90.0;10.0;0;0
8268;1961;4;1;51301.0;0;1;2013-07-11;23;352;0;27;10;0;15;3;6.0;1.0;7.0;6;0;0;0;0;0;0;3;11;0;53;450;1;404.0;14.0;0;2
11051;1956;4;1;77376.0;1;1;2014-05-10;72;492;19;110;16;12;12;4;6.0;3.0;10.0;4;0;0;0;0;0;0;3;11;0;58;147;2;661.0;17.0;0;2
8026;1952;1;1;62998.0;0;1;2013-09-30;10;120;58;73;65;89;58;5;5.0;4.0;5.0;5;0;0;0;0;0;0;3;11;0;62;369;1;463.0;14.0;0;2
433;1958;3;0;61331.0;1;1;2013-03-10;42;534;5;47;0;5;41;5;11.0;1.0;6.0;8;0;0;0;0;0;0;3;11;0;56;573;2;632.0;15.0;0;2
9597;1969;1;1;73448.0;0;0;2014-02-10;10;236;106;189;23;41;130;1;7.0;2.0;9.0;4;0;0;0;0;0;0;3;11;0;45;236;0;725.0;15.0;0;1
1295;1963;1;1;51301.0;0;1;2013-08-11;96;231;65;196;38;71;124;1;6.0;5.0;7.0;4;0;0;0;0;0;0;3;11;0;51;419;1;725.0;16.0;0;2
5290;1964;4;1;41551.0;1;1;2013-08-14;51;220;0;33;3;0;23;5;5.0;1.0;5.0;8;0;0;0;0;0;0;3;11;0;50;416;2;279.0;14.0;0;2
1685;1967;4;1;62981.0;0;0;2013-03-17;21;796;14;590;38;44;0;1;4.0;5.0;13.0;3;0;1;0;0;0;0;3;11;0;47;566;0;1482.0;21.0;1;1
5342;1976;0;0;9548.0;1;0;2012-08-08;31;0;1;3;10;6;9;2;1.0;0.0;3.0;8;0;0;0;0;0;0;3;11;0;38;787;1;29.0;11.0;0;0
9579;1959;4;1;33762.0;2;1;2013-07-07;61;53;1;34;2;0;16;3;2.0;2.0;2.0;8;0;0;0;0;0;0;3;11;0;55;454;3;106.0;12.0;0;0
7660;1973;4;0;35860.0;1;1;2014-05-19;37;15;0;8;4;2;20;2;1.0;1.0;2.0;5;1;0;0;0;0;0;3;11;1;41;138;2;49.0;8.0;1;0
1461;1965;4;0;36921.0;1;1;2013-07-28;74;17;1;12;3;1;4;2;2.0;0.0;3.0;7;0;0;0;0;0;0;3;11;0;49;433;2;38.0;10.0;0;0
821;1992;3;0;92859.0;0;0;2012-10-19;46;962;61;921;52;61;20;1;5.0;4.0;12.0;2;0;0;0;0;0;0;3;11;0;22;715;0;2077.0;18.0;0;1
11084;1976;3;1;65104.0;0;1;2013-11-14;4;738;0;232;13;20;50;2;3.0;5.0;7.0;7;0;0;0;0;0;0;3;11;1;38;324;1;1053.0;19.0;0;1
8690;1962;1;1;86111.0;0;0;2013-04-19;73;399;28;756;36;40;126;1;5.0;7.0;10.0;2;0;0;0;0;0;0;3;11;0;52;533;0;1385.0;19.0;0;1
2937;1974;4;0;68352.0;0;1;2013-08-28;47;614;16;132;43;33;33;3;8.0;5.0;9.0;6;0;0;0;0;0;0;3;11;0;40;402;1;871.0;20.0;0;2
9701;1988;1;1;41883.0;1;0;2013-03-19;13;32;34;41;73;16;116;3;4.0;2.0;3.0;7;0;0;0;0;0;0;3;11;0;26;564;1;312.0;12.0;0;0
9949;1976;1;1;59809.0;0;2;2012-10-18;36;598;16;141;32;41;49;3;3.0;3.0;6.0;8;0;0;0;0;0;0;3;11;0;38;716;2;877.0;17.0;0;2
